"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",-0.5,-1,"316",38.3,"84","0.234","0.39","0.305",10.6,10.7,11.5,"0.254","0.544","0.362",58
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-1.2,-4,"297",42,"76","0.25","0.313","0.318",8.1,15.8,16.7,"0.27","0.345","0.334",40.4
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-0.9,-2,"286",36.2,"75","0.238","0.286","0.297",15.7,13.3,11,"0.27","0.388","0.348",33.3
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0,0,"279",37.1,"73","0.222","0.413","0.327",23.7,21.9,27.1,"0.276","0.425","0.355",57.4
"Riley, Austin",663586,"ATL","FF","4-Seam Fastball",-0.7,-2,"315",39,"73","0.254","0.358","0.301",25.8,28.8,19.6,"0.26","0.429","0.326",60.9
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",0.1,0,"249",35.1,"73","0.262","0.415","0.336",29.7,23.3,23,"0.224","0.402","0.313",47.9
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",1.7,6,"351",43.8,"72","0.298","0.509","0.407",8,8.3,6.5,"0.303","0.489","0.393",27.8
"Betts, Mookie",605141,"LAD","FF","4-Seam Fastball",1.6,4,"265",37.1,"71","0.304","0.464","0.399",8.2,2.8,4.3,"0.343","0.505","0.425",38.2
"Nootbaar, Lars",663457,"STL","FF","4-Seam Fastball",0.7,2,"278",32.9,"71","0.279","0.426","0.36",5.9,12.7,13.6,"0.306","0.523","0.401",55.8
"Santana, Carlos",467793,"CLE","FF","4-Seam Fastball",-0.6,-2,"243",33.3,"71","0.242","0.306","0.302",18.8,14.1,16.4,"0.244","0.412","0.322",37.7
"Devers, Rafael",646240,"BOS","FF","4-Seam Fastball",1,4,"393",43.4,"71","0.271","0.559","0.408",36,23.9,12.7,"0.323","0.688","0.47",59.5
"Stowers, Kyle",669065,"MIA","FF","4-Seam Fastball",2.1,5,"261",42,"70","0.262","0.623","0.401",38.8,35.7,34.2,"0.309","0.724","0.467",59.5
"Volpe, Anthony",683011,"NYY","FF","4-Seam Fastball",1.9,5,"275",36.4,"70","0.305","0.576","0.414",30.4,24.3,20.2,"0.279","0.533","0.397",62.8
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",0.1,0,"297",36.4,"69","0.262","0.459","0.345",12.2,13,11,"0.298","0.531","0.393",50
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.8,2,"271",38.9,"69","0.21","0.468","0.377",15.7,11.6,11.8,"0.265","0.577","0.388",48.1
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",-0.5,-1,"243",37.6,"68","0.19","0.345","0.286",25.2,25,19.5,"0.247","0.47","0.352",50
"Flores, Wilmer",527038,"SF","FF","4-Seam Fastball",0.2,0,"244",34.7,"67","0.266","0.516","0.347",15.2,14.9,12.2,"0.241","0.411","0.296",22.2
"Abreu, Wilyer",677800,"BOS","FF","4-Seam Fastball",-0.3,-1,"286",44.3,"67","0.19","0.414","0.312",21.7,23.9,16.7,"0.213","0.486","0.347",42.9
"Rooker, Brent",667670,"ATH","FF","4-Seam Fastball",-1.8,-4,"211",29.7,"67","0.164","0.328","0.251",21.7,32.8,29.7,"0.216","0.475","0.326",46.2
"Yastrzemski, Mike",573262,"SF","FF","4-Seam Fastball",-1.1,-3,"263",41.4,"67","0.217","0.35","0.291",21.4,28.4,27.1,"0.206","0.411","0.306",43.9
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",1.3,4,"315",35.9,"67","0.245","0.623","0.43",24.7,17.9,11.4,"0.288","0.685","0.466",61
"Gurriel Jr., Lourdes",666971,"AZ","FF","4-Seam Fastball",-2.3,-5,"204",33.2,"66","0.197","0.41","0.267",11.3,10.6,13,"0.233","0.435","0.298",37.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",0.1,0,"255",32.5,"66","0.203","0.441","0.329",20.1,24.2,18.2,"0.24","0.522","0.36",39.5
"Santander, Anthony",623993,"TOR","FF","4-Seam Fastball",-2.1,-6,"283",40.4,"65","0.155","0.241","0.217",26.6,27.7,22,"0.181","0.275","0.248",48.8
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.6,2,"349",45,"65","0.309","0.545","0.404",19.7,21.5,12.8,"0.259","0.446","0.35",38.1
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",2.4,7,"296",39.5,"65","0.271","0.583","0.436",19,13.8,8.3,"0.306","0.666","0.479",57.5
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",1.7,5,"279",34.9,"64","0.22","0.5","0.387",14.8,7.8,7.8,"0.306","0.721","0.487",48.9
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0.8,2,"301",39.9,"64","0.26","0.38","0.363",15.6,15.6,12.8,"0.299","0.458","0.395",52.4
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.9,-2,"211",28.3,"64","0.197","0.41","0.29",11.7,9.4,11.8,"0.294","0.519","0.361",40
"Albies, Ozzie",645277,"ATL","FF","4-Seam Fastball",-0.1,0,"214",31,"63","0.2","0.4","0.31",24.2,17.5,22.9,"0.213","0.429","0.324",31.8
"Wade Jr., LaMonte",664774,"SF","FF","4-Seam Fastball",-1.2,-3,"261",44.9,"63","0.173","0.25","0.287",17.9,11.1,9.5,"0.244","0.398","0.348",33.3
"Bregman, Alex",608324,"BOS","FF","4-Seam Fastball",1.3,3,"209",26.6,"62","0.263","0.526","0.361",14.3,19.4,18.8,"0.284","0.593","0.395",55.6
"Castellanos, Nick",592206,"PHI","FF","4-Seam Fastball",2.4,4,"168",24.4,"62","0.357","0.571","0.416",16.7,17.7,19.6,"0.325","0.593","0.411",56.5
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",0.5,1,"265",37.7,"62","0.327","0.418","0.373",5.8,6.5,8.5,"0.304","0.384","0.336",32.7
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.2,1,"235",40.4,"62","0.321","0.5","0.367",2.5,1.6,2.2,"0.258","0.32","0.294",18.2
"Swanson, Dansby",621020,"CHC","FF","4-Seam Fastball",-0.8,-2,"198",27.2,"62","0.259","0.534","0.355",29.1,24.2,26.8,"0.3","0.694","0.421",57.8
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",5.1,11,"215",27.1,"61","0.418","0.909","0.568",26.9,26.2,28.1,"0.359","0.844","0.52",69.2
"Harper, Bryce",547180,"PHI","FF","4-Seam Fastball",1.5,4,"234",31,"61","0.191","0.489","0.377",29.7,21.3,22,"0.255","0.633","0.444",61.8
"Toglia, Michael",669911,"COL","FF","4-Seam Fastball",-2.4,-6,"231",34.6,"61","0.179","0.196","0.199",29.3,36.1,33.8,"0.23","0.298","0.259",28.6
"Harris II, Michael",671739,"ATL","FF","4-Seam Fastball",-2.2,-5,"221",34.6,"61","0.241","0.379","0.292",19.7,18,19.3,"0.298","0.502","0.348",45.8
"Story, Trevor",596115,"BOS","FF","4-Seam Fastball",-2.4,-6,"251",35.4,"61","0.179","0.196","0.211",22.1,27.9,19.3,"0.177","0.238","0.222",38.5
"Turner, Trea",607208,"PHI","FF","4-Seam Fastball",-0.2,0,"223",31.4,"60","0.321","0.377","0.354",20.6,25,23.8,"0.242","0.361","0.31",39.5
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",3.5,9,"253",30.2,"60","0.313","0.708","0.496",25.5,20,18.5,"0.326","0.8","0.514",66.7
"Donovan, Brendan",680977,"STL","FF","4-Seam Fastball",2.2,5,"226",32,"60","0.412","0.549","0.462",5.1,6.7,7.8,"0.354","0.541","0.431",44.7
"Chapman, Matt",656305,"SF","FF","4-Seam Fastball",-0.7,-2,"320",39.1,"60","0.188","0.313","0.311",31.7,26.7,17.8,"0.231","0.402","0.355",46.9
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",2.4,6,"240",30,"60","0.321","0.643","0.426",18.2,15,18,"0.368","0.833","0.515",72.3
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",-1.5,-3,"239",33.4,"60","0.241","0.333","0.295",8.6,11.7,10,"0.332","0.504","0.394",31.9
"Suárez, Eugenio",553993,"AZ","FF","4-Seam Fastball",2.2,5,"231",30.3,"59","0.24","0.68","0.43",23.4,23.7,18.7,"0.275","0.681","0.457",67.6
"Rutschman, Adley",668939,"BAL","FF","4-Seam Fastball",0.3,1,"237",34.5,"59","0.216","0.373","0.327",11.7,11.9,12.7,"0.295","0.547","0.403",50
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",-0.6,-1,"186",25.1,"59","0.26","0.34","0.318",21.9,20.3,18.8,"0.236","0.382","0.325",33.3
"Paredes, Isaac",670623,"HOU","FF","4-Seam Fastball",1.4,3,"222",27.4,"59","0.306","0.469","0.397",9.3,13.6,11.6,"0.308","0.466","0.394",31.7
