"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Burnes, Corbin",669203,"MIL","FC","Cutter",1.5,26,"1815",55.4,"464","0.213","0.335","0.292",27.8,24.6,24.1,"0.245","0.376","0.312",38.4
"Rodón, Carlos",607074,"SF","FF","4-Seam Fastball",1,19,"1817",60.9,"442","0.214","0.359","0.291",28.1,30.5,24.3,"0.207","0.348","0.278",44.9
"Gilbert, Logan",669302,"SEA","FF","4-Seam Fastball",0.4,6,"1623",53.8,"416","0.261","0.441","0.338",23.7,22.6,20.6,"0.262","0.446","0.34",50.9
"McKenzie, Triston",663474,"CLE","FF","4-Seam Fastball",1.2,19,"1575",56.1,"407","0.202","0.357","0.289",19.9,18.4,17.4,"0.241","0.449","0.336",46.9
"Valdez, Framber",664285,"HOU","SI","Sinker",0.3,5,"1506",49.9,"404","0.292","0.406","0.358",12.4,6.9,11.9,"0.293","0.434","0.356",47.1
"Cole, Gerrit",543037,"NYY","FF","4-Seam Fastball",0.6,10,"1695",51.8,"399","0.221","0.42","0.313",28.9,33.8,24.9,"0.216","0.398","0.3",47.6
"Pivetta, Nick",601713,"BOS","FF","4-Seam Fastball",0.2,3,"1572",51,"384","0.236","0.442","0.341",21.1,21.6,19.8,"0.249","0.466","0.357",48.8
"Corbin, Patrick",571578,"WSH","SI","Sinker",-1.1,-13,"1212",46.2,"382","0.315","0.481","0.389",11.6,15.4,16.3,"0.315","0.548","0.399",51
"Javier, Cristian",664299,"HOU","FF","4-Seam Fastball",1.3,20,"1533",60,"370","0.183","0.326","0.282",27.2,28.9,20.2,"0.181","0.317","0.274",39.2
"Strider, Spencer",675911,"ATL","FF","4-Seam Fastball",1.4,21,"1525",67,"357","0.201","0.295","0.262",27.7,33.6,24.4,"0.207","0.336","0.281",41.8
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.4,20,"1436",60.1,"354","0.174","0.3","0.268",25.8,27.1,20.7,"0.201","0.378","0.302",40.9
"Cease, Dylan",656302,"CWS","SL","Slider",2.6,35,"1338",42.9,"349","0.128","0.209","0.193",43.5,37.5,27.8,"0.143","0.223","0.201",22
"Urquidy, José",664353,"HOU","FF","4-Seam Fastball",0.7,10,"1387",52.5,"346","0.244","0.484","0.335",18.8,17.1,14.8,"0.274","0.516","0.368",51
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.2,3,"1358",48.8,"342","0.333","0.483","0.371",16.3,18.4,17.7,"0.296","0.511","0.359",50.4
"Urías, Julio",628711,"LAD","FF","4-Seam Fastball",0.8,10,"1291",49.2,"336","0.195","0.363","0.294",23.4,22.6,22.2,"0.206","0.36","0.285",38
"Singer, Brady",663903,"KC","SI","Sinker",0.6,8,"1278",53.8,"328","0.256","0.389","0.318",14.2,21,22.1,"0.244","0.391","0.308",39.9
"Ray, Robbie",592662,"SEA","FF","4-Seam Fastball",0.2,3,"1197",39.3,"327","0.224","0.397","0.312",25.9,26.6,24.2,"0.209","0.364","0.29",37
"Quantrill, Cal",615698,"CLE","SI","Sinker",-0.3,-3,"1114",38.2,"320","0.299","0.431","0.351",11.9,10.3,10.5,"0.278","0.42","0.337",32.2
"Giolito, Lucas",608337,"CWS","FF","4-Seam Fastball",-0.6,-8,"1312",47.7,"320","0.283","0.449","0.359",21.3,21.6,18.9,"0.254","0.422","0.337",43.1
"Pérez, Martín",527048,"TEX","SI","Sinker",0.5,6,"1087",36.5,"318","0.25","0.346","0.317",12.4,18.6,22.3,"0.245","0.362","0.318",40.4
"Verlander, Justin",434378,"HOU","FF","4-Seam Fastball",2.1,28,"1314",50.4,"317","0.194","0.285","0.249",18.1,15.8,15,"0.234","0.394","0.3",40.3
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",1.1,15,"1410",48,"310","0.165","0.301","0.262",19.7,28.4,20.5,"0.2","0.356","0.296",41.9
"Dunning, Dane",641540,"TEX","SI","Sinker",-0.5,-5,"1012",39.7,"305","0.296","0.45","0.382",13.4,14.4,20.7,"0.273","0.432","0.358",43.6
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",0.8,8,"989",35.5,"303","0.195","0.293","0.241",44.1,42.2,25,"0.172","0.227","0.2",22.4
"Manaea, Sean",640455,"SD","FF","4-Seam Fastball",0.3,3,"1122",45.2,"302","0.233","0.4","0.304",24.3,25.5,20.3,"0.225","0.382","0.298",44.7
"Cortes, Nestor",641482,"NYY","FF","4-Seam Fastball",2.3,27,"1155",46.9,"296","0.156","0.232","0.2",25.8,33.8,22,"0.181","0.288","0.233",39.7
"Gonzales, Marco",594835,"SEA","CH","Changeup",-0.1,-1,"865",30.5,"292","0.263","0.442","0.324",24.7,16.8,14.6,"0.235","0.359","0.275",30.7
"Bumgarner, Madison",518516,"AZ","FC","Cutter",-1.3,-13,"986",36.3,"292","0.306","0.513","0.38",16.7,17.5,15.9,"0.3","0.515","0.373",43.4
"Kopech, Michael",656629,"CWS","FF","4-Seam Fastball",0.7,8,"1237",61.5,"291","0.189","0.337","0.302",25.7,23.7,21.1,"0.205","0.359","0.315",45.2
"López, Pablo",641154,"MIA","FF","4-Seam Fastball",0.3,3,"1131",38.9,"290","0.25","0.419","0.322",23.4,26.2,22.1,"0.243","0.392","0.314",33.2
"Brubaker, JT",664141,"PIT","SI","Sinker",-0.4,-4,"1004",42.2,"289","0.286","0.437","0.371",14.7,16.6,19.1,"0.274","0.425","0.351",44.4
"Cobb, Alex",502171,"SF","SI","Sinker",0.5,5,"1011",41.8,"289","0.274","0.377","0.338",13.5,28,24.8,"0.232","0.331","0.299",49.7
"Webb, Logan",657277,"SF","CH","Changeup",1.3,12,"936",31.1,"289","0.204","0.286","0.256",27,23.9,19.9,"0.238","0.33","0.276",42.3
"Garcia, Luis",677651,"HOU","FF","4-Seam Fastball",-1,-10,"1035",41.9,"289","0.281","0.519","0.38",18.4,18,20.6,"0.267","0.495","0.362",45.9
"Snell, Blake",605483,"SD","FF","4-Seam Fastball",0.3,4,"1300",55.5,"287","0.255","0.407","0.347",22.4,23,17.4,"0.232","0.386","0.328",42.2
"Suárez, Ranger",624133,"PHI","SI","Sinker",1.1,11,"1024",39.9,"286","0.224","0.322","0.304",12,18.5,20.5,"0.249","0.368","0.314",41.6
"Cobb, Alex",502171,"SF","FS","Split-Finger",0.5,6,"1028",42.5,"283","0.244","0.307","0.269",30.5,21.9,19.6,"0.226","0.304","0.249",34.3
"Morton, Charlie",450203,"ATL","CU","Curveball",0.5,6,"1103",38,"283","0.171","0.323","0.261",41.8,43.1,29,"0.163","0.26","0.235",34.1
"Montgomery, Jordan",656756,"STL","SI","Sinker",1.5,14,"955",35.2,"282","0.247","0.359","0.304",17,15.2,22.2,"0.287","0.402","0.331",38.5
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",-0.8,-9,"1178",53.5,"282","0.262","0.516","0.374",28.4,29.1,23,"0.248","0.475","0.36",48.2
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",-2.7,-31,"1141",50.4,"277","0.348","0.587","0.441",20.2,20.2,18.9,"0.296","0.497","0.39",48.6
"Wainwright, Adam",425794,"STL","CU","Curveball",0.6,6,"993",31.7,"275","0.251","0.353","0.287",22.3,21.1,16.7,"0.247","0.352","0.291",29
"Ray, Robbie",592662,"SEA","SL","Slider",0.8,9,"1134",37.2,"274","0.184","0.349","0.247",39.4,37.2,23.2,"0.207","0.33","0.252",41.9
"Morton, Charlie",450203,"ATL","FF","4-Seam Fastball",-0.9,-9,"972",33.5,"274","0.257","0.469","0.353",20,24.1,19.7,"0.247","0.459","0.346",47.2
"Woodruff, Brandon",605540,"MIL","FF","4-Seam Fastball",0.7,7,"972",38.3,"273","0.183","0.378","0.287",28.8,35.9,23.4,"0.19","0.372","0.291",46.5
"Steele, Justin",657006,"CHC","FF","4-Seam Fastball",-0.3,-4,"1142",56.2,"272","0.304","0.396","0.381",20.3,16.5,17,"0.275","0.36","0.338",33.7
"Stroman, Marcus",573186,"CHC","SI","Sinker",0.9,8,"883",40.5,"272","0.228","0.354","0.323",15.8,14.7,19.8,"0.238","0.38","0.32",41.9
"Cease, Dylan",656302,"CWS","FF","4-Seam Fastball",0.3,4,"1245",39.9,"270","0.238","0.388","0.334",23.2,21.1,16.3,"0.217","0.364","0.32",35.1
"Kaprielian, James",621076,"OAK","FF","4-Seam Fastball",-0.3,-3,"1080",48.4,"270","0.25","0.452","0.357",16.6,14.1,13.1,"0.272","0.47","0.37",39.2
"Mahle, Tyler",641816,"MIN","FF","4-Seam Fastball",0.8,9,"1088",51.8,"269","0.201","0.36","0.291",28,32,22.1,"0.179","0.313","0.269",47.4
"Wright, Kyle",657140,"ATL","CU","Curveball",0.5,5,"919",34.1,"268","0.211","0.307","0.263",33.9,33.2,27.3,"0.219","0.323","0.262",40.5
"López, Pablo",641154,"MIA","CH","Changeup",0.8,8,"1029",35.4,"265","0.22","0.374","0.289",33.8,27.5,21.1,"0.233","0.367","0.288",33.9
"Lauer, Eric",641778,"MIL","FF","4-Seam Fastball",0.2,3,"1168",43.6,"265","0.196","0.37","0.289",30.1,33.2,21.1,"0.187","0.332","0.276",43.2
"Gray, Jon",592351,"TEX","FF","4-Seam Fastball",0.2,2,"1025",49.7,"264","0.272","0.402","0.334",17.5,19.7,16.8,"0.277","0.421","0.339",43.1
"Alcantara, Sandy",645261,"MIA","CH","Changeup",3,27,"894",27.5,"263","0.146","0.195","0.179",34.6,29.7,27.1,"0.168","0.229","0.199",29.5
"Bieber, Shane",669456,"CLE","SL","Slider",1.9,16,"849",29.5,"263","0.191","0.287","0.233",40,31.2,27.2,"0.196","0.298","0.235",34.3
"Quintana, Jose",500779,"STL","FF","4-Seam Fastball",1,9,"980",36,"263","0.224","0.327","0.27",22.9,22.8,16,"0.24","0.349","0.284",32.3
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.6,6,"928",52.9,"262","0.286","0.378","0.331",12.4,11.5,13.8,"0.263","0.352","0.308",42.9
"Manoah, Alek",666201,"TOR","FF","4-Seam Fastball",1.4,15,"1055",35.8,"262","0.214","0.342","0.288",25.9,24.4,22,"0.243","0.396","0.315",39.3
"Houser, Adrian",605288,"MIL","SI","Sinker",0.1,1,"877",47.5,"261","0.299","0.442","0.375",13,9.6,12.6,"0.312","0.47","0.385",41.4
"Junis, Jakob",596001,"SF","SL","Slider",0.4,4,"910",50.5,"258","0.229","0.396","0.295",25.1,28.7,22.9,"0.231","0.374","0.289",39.5
"Kuhl, Chad",641771,"COL","SL","Slider",0.6,6,"870",36.6,"257","0.213","0.387","0.289",34.2,33.1,22.9,"0.217","0.352","0.278",35.1
"Lynch IV, Daniel",663738,"KC","FF","4-Seam Fastball",-0.7,-7,"1052",43.2,"255","0.304","0.424","0.377",19.2,16.9,14.3,"0.297","0.481","0.374",51.4
"Bassitt, Chris",605135,"NYM","SI","Sinker",1.6,16,"963",33.4,"255","0.258","0.351","0.326",15.1,10.2,19.3,"0.253","0.404","0.33",36
"Singer, Brady",663903,"KC","SL","Slider",0.5,4,"903",38,"254","0.237","0.371","0.289",33.9,30.7,24.5,"0.229","0.367","0.287",40.9
"Quantrill, Cal",615698,"CLE","FC","Cutter",0.6,6,"1051",36,"253","0.236","0.369","0.29",23.9,18.6,17.2,"0.255","0.42","0.316",39.5
"Alcantara, Sandy",645261,"MIA","SI","Sinker",1.1,9,"800",24.6,"252","0.264","0.342","0.31",11.1,11.5,15.7,"0.253","0.337","0.295",36.6
"Ohtani, Shohei",660271,"LAA","ST","Sweeper",2.5,24,"983",37.4,"251","0.165","0.274","0.232",38.1,32.7,30.1,"0.182","0.293","0.243",30
"Ureña, José",570632,"COL","SI","Sinker",-0.5,-5,"854",52.7,"250","0.307","0.436","0.36",14.4,12.4,19.3,"0.302","0.477","0.373",47.2
"Fried, Max",608331,"ATL","FF","4-Seam Fastball",1,9,"886",31.4,"247","0.254","0.373","0.303",14.6,14.6,14.8,"0.258","0.381","0.311",32.1
"Rogers, Trevor",669432,"MIA","FF","4-Seam Fastball",-0.8,-9,"1023",52.7,"247","0.312","0.553","0.409",22.8,21.9,18.6,"0.3","0.534","0.402",49.1
"Irvin, Cole",608344,"OAK","FF","4-Seam Fastball",0.6,6,"948",36.3,"246","0.22","0.384","0.284",23.5,29.3,22.9,"0.228","0.417","0.298",46
"Bieber, Shane",669456,"CLE","FF","4-Seam Fastball",0.1,1,"989",34.4,"246","0.292","0.434","0.356",15.1,16.3,20,"0.314","0.513","0.381",55.3
"Hudson, Dakota",641712,"STL","SI","Sinker",-0.9,-7,"806",35.8,"245","0.317","0.42","0.377",7.2,7.3,10,"0.315","0.452","0.387",47.6
"Lyles, Jordan",543475,"BAL","FF","4-Seam Fastball",-0.6,-6,"960",32.1,"244","0.294","0.547","0.402",18.9,14.3,13.6,"0.301","0.55","0.405",49.7
"Kelly, Merrill",518876,"AZ","FF","4-Seam Fastball",0.9,9,"947",30.8,"244","0.206","0.364","0.302",23.4,25.8,22.7,"0.184","0.335","0.28",39.7
"Valdez, Framber",664285,"HOU","CU","Curveball",1.1,10,"852",28.2,"243","0.146","0.196","0.21",44.9,50.6,29.9,"0.147","0.203","0.202",34.7
"Anderson, Tyler",542881,"LAD","CH","Changeup",1.7,14,"815",31.6,"242","0.179","0.262","0.213",37,24.8,21.7,"0.19","0.274","0.223",19.3
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",1.8,17,"956",45.7,"242","0.225","0.346","0.259",26.6,30.6,22.8,"0.211","0.377","0.268",43.4
"Archer, Chris",502042,"MIN","SL","Slider",0.9,7,"792",44.3,"241","0.202","0.337","0.298",26.5,21.2,17.2,"0.241","0.38","0.32",43.8
"Wheeler, Zack",554430,"PHI","FF","4-Seam Fastball",1.5,15,"997",42.3,"240","0.21","0.342","0.274",28.9,31.3,24.4,"0.223","0.372","0.292",47.6
"Webb, Logan",657277,"SF","SI","Sinker",0.1,1,"969",32.2,"240","0.335","0.46","0.395",12.8,10.8,20.8,"0.308","0.447","0.367",47.1
"Springs, Jeffrey",605488,"TB","CH","Changeup",1.2,9,"745",34.7,"240","0.229","0.32","0.265",38.1,29.2,26.3,"0.205","0.278","0.229",27.3
"Taillon, Jameson",592791,"NYY","FF","4-Seam Fastball",-0.1,-1,"996",35.5,"239","0.267","0.466","0.344",22.6,25.9,17.4,"0.266","0.501","0.354",51.2
"Greene, Hunter",668881,"CIN","SL","Slider",0.8,7,"901",41,"236","0.17","0.307","0.261",38.2,34.3,22.9,"0.177","0.289","0.248",29.3
"Espino, Paolo",502179,"WSH","FF","4-Seam Fastball",-0.5,-5,"899",48,"236","0.286","0.482","0.362",12.2,15.3,14.2,"0.297","0.537","0.379",47.8
"Nola, Aaron",605400,"PHI","CU","Curveball",1.1,9,"806",26.5,"236","0.219","0.346","0.261",39.4,36,27,"0.195","0.286","0.228",26.6
"Rodón, Carlos",607074,"SF","SL","Slider",1,9,"929",31.1,"234","0.193","0.239","0.225",39,39.7,24.2,"0.177","0.237","0.213",30.2
"Ashcraft, Graham",668933,"CIN","FC","Cutter",0.6,5,"898",51.1,"233","0.284","0.38","0.34",15.2,9.4,10.9,"0.268","0.375","0.323",33.2
"Gonzales, Marco",594835,"SEA","FF","4-Seam Fastball",-0.5,-5,"922",32.5,"232","0.246","0.442","0.356",16.2,15.1,12.8,"0.269","0.465","0.362",36.9
"Scherzer, Max",453286,"NYM","FF","4-Seam Fastball",1.4,14,"983",45.4,"232","0.212","0.37","0.279",23,21.1,23.1,"0.232","0.459","0.332",44.2
"Wood, Alex",622072,"SF","SI","Sinker",-0.2,-2,"1010",45.1,"232","0.262","0.471","0.336",23.4,29.3,19.7,"0.243","0.465","0.331",46.3
"Fedde, Erick",607200,"WSH","SI","Sinker",-0.5,-5,"964",39.8,"232","0.307","0.46","0.372",14.4,13.8,13.1,"0.301","0.44","0.364",49.1
"Anderson, Tyler",542881,"LAD","FF","4-Seam Fastball",0.7,7,"1023",39.7,"231","0.256","0.409","0.328",18,16.9,15.8,"0.257","0.444","0.34",41.1
"Anderson, Ian",666120,"ATL","FF","4-Seam Fastball",-0.3,-3,"962",48,"231","0.306","0.444","0.38",18.1,10.4,9.9,"0.298","0.459","0.383",47.1
"Manoah, Alek",666201,"TOR","SL","Slider",0.6,5,"798",27.1,"231","0.19","0.324","0.248",31.8,27.7,20.6,"0.218","0.346","0.272",22.7
"Kershaw, Clayton",477132,"LAD","SL","Slider",1.8,14,"786",42.7,"231","0.2","0.298","0.26",37.5,33.3,25.7,"0.2","0.275","0.236",36.4
"Kuhl, Chad",641771,"COL","SI","Sinker",-1.8,-18,"981",41.3,"231","0.371","0.604","0.463",11.7,1.7,5.1,"0.351","0.617","0.447",54.5
"Nola, Aaron",605400,"PHI","FF","4-Seam Fastball",1.6,16,"1022",33.6,"230","0.197","0.352","0.266",24,28.7,20.9,"0.199","0.378","0.278",35.1
"Heasley, Jonathan",669169,"KC","FF","4-Seam Fastball",-1.2,-11,"881",49.1,"230","0.289","0.563","0.414",14.5,14.3,15.2,"0.268","0.499","0.382",47.2
"Gray, Josiah",680686,"WSH","FF","4-Seam Fastball",-2.8,-28,"996",38.4,"229","0.306","0.737","0.487",17.1,8.7,10,"0.257","0.625","0.428",44.6
"Bradish, Kyle",680694,"BAL","FF","4-Seam Fastball",-1.4,-12,"883",44.3,"228","0.323","0.542","0.421",17.6,15.8,16.5,"0.299","0.514","0.397",44.4
"Webb, Logan",657277,"SF","ST","Sweeper",0.2,2,"983",32.7,"228","0.202","0.329","0.27",31.1,26.3,16.7,"0.202","0.33","0.253",24.4
