"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Torkelson, Spencer",679529,"DET","SL","Slider",1.1,2,"165",14.3,"39","0.243","0.568","0.355",38.7,41,32.7,"0.237","0.496","0.326",52.4
"Clase, Jonatan",682729,"TOR","FF","4-Seam Fastball",-3,-5,"152",46.6,"39","0.139","0.25","0.212",18.9,30.8,30.8,"0.232","0.377","0.293",50
"Sheets, Gavin",657757,"SD","SL","Slider",-2,-3,"173",17.1,"39","0.143","0.257","0.188",30.1,28.2,19.6,"0.243","0.404","0.295",53.8
"Reynolds, Bryan",668804,"PIT","CH","Changeup",-0.3,-1,"194",16,"39","0.206","0.265","0.269",23.1,5.1,4.5,"0.184","0.217","0.242",15.6
"Dingler, Dillon",693307,"DET","SL","Slider",0.1,0,"111",14.9,"39","0.333","0.436","0.337",23.8,15.4,17.1,"0.297","0.416","0.307",30.3
"Amador, Adael",691182,"COL","FF","4-Seam Fastball",-0.4,-1,"145",38.9,"39","0.242","0.333","0.309",14.3,23.1,22,"0.283","0.396","0.345",20
"Mullins, Cedric",656775,"BAL","SI","Sinker",-2.5,-4,"155",15.7,"39","0.171","0.286","0.247",17.1,28.2,25.6,"0.194","0.306","0.264",29.2
"Bader, Harrison",664056,"MIN","SI","Sinker",1.4,2,"143",17.6,"39","0.382","0.412","0.396",3.6,2.6,3.1,"0.294","0.403","0.354",39.4
"Kepler, Max",596146,"PHI","SL","Slider",0.1,0,"133",14,"39","0.171","0.4","0.285",30.9,30.8,27.9,"0.196","0.34","0.276",43.5
"Cabrera, Oswaldo",665828,"NYY","FF","4-Seam Fastball",-1.5,-2,"152",34.5,"39","0.161","0.29","0.291",27.5,20.5,21.1,"0.227","0.32","0.301",44
"Young, Jacob",696285,"WSH","FF","4-Seam Fastball",0,0,"163",33.5,"39","0.281","0.313","0.347",10.4,12.8,10.9,"0.323","0.36","0.353",34.5
"Biggio, Cavan",624415,"KC","FF","4-Seam Fastball",-0.3,0,"143",41.9,"39","0.212","0.364","0.315",13.8,15.4,18.2,"0.256","0.457","0.363",44.4
"Hernández, Enrique",571771,"LAD","FF","4-Seam Fastball",-0.3,0,"171",27.8,"39","0.212","0.424","0.325",28.2,25.6,22.2,"0.262","0.492","0.364",50
"Castellanos, Nick",592206,"PHI","SI","Sinker",3.8,5,"124",11.3,"39","0.412","0.618","0.491",6.2,5.1,9.5,"0.413","0.638","0.484",50
"Bauers, Jake",641343,"MIL","FF","4-Seam Fastball",-2.6,-4,"140",31.7,"39","0.147","0.265","0.224",25.5,28.2,32.4,"0.231","0.548","0.37",45.8
"Iglesias, Jose",578428,"SD","FF","4-Seam Fastball",-2,-4,"212",36,"39","0.206","0.265","0.246",16.7,20.5,12.5,"0.216","0.254","0.246",14.3
"Frazier, Adam",624428,"PIT","SL","Slider",-1.2,-2,"127",14.2,"39","0.25","0.333","0.272",20.8,23.1,17.3,"0.276","0.347","0.295",17.9
"Bride, Jonah",681146,"MIN","FF","4-Seam Fastball",1.4,2,"125",24.4,"39","0.333","0.364","0.399",5.9,17.9,18.9,"0.258","0.343","0.315",37
"Pasquantino, Vinnie",686469,"KC","SI","Sinker",-2.7,-3,"125",11.3,"38","0.229","0.286","0.245",12.3,18.4,25.9,"0.224","0.312","0.259",48.3
"Rengifo, Luis",650859,"LAA","SL","Slider",-2.6,-4,"137",16.4,"38","0.147","0.147","0.216",17.1,15.8,12.8,"0.244","0.316","0.29",25
"Duran, Jarren",680776,"BOS","SI","Sinker",-0.5,-1,"161",12.6,"38","0.273","0.303","0.314",21,18.4,20.6,"0.277","0.371","0.337",42.3
"Busch, Michael",683737,"CHC","SL","Slider",2.4,3,"137",13.2,"38","0.179","0.5","0.389",40.3,31.6,20.7,"0.198","0.519","0.404",43.8
"Crow-Armstrong, Pete",691718,"CHC","CU","Curveball",1.2,1,"118",11,"38","0.278","0.639","0.37",32.9,31.6,35.3,"0.218","0.379","0.248",23.1
"Malloy, Justyn-Henry",669234,"DET","FF","4-Seam Fastball",1.4,2,"116",23.4,"38","0.313","0.313","0.353",20.6,21.1,19,"0.259","0.336","0.308",32
"Santana, Carlos",467793,"CLE","SI","Sinker",0.4,1,"161",14.2,"38","0.29","0.419","0.362",11.6,13.2,12.2,"0.297","0.428","0.373",70.4
"Chourio, Jackson",694192,"MIL","ST","Sweeper",-0.6,-1,"114",10.3,"38","0.211","0.421","0.266",29.6,26.3,16.7,"0.233","0.403","0.269",25
"Alvarez, Francisco",682626,"NYM","FF","4-Seam Fastball",-1,-2,"149",30.5,"38","0.278","0.333","0.292",35.5,39.5,30,"0.236","0.459","0.314",61.9
"Lopez, Otto",672640,"MIA","SI","Sinker",-1.6,-2,"142",17.6,"38","0.235","0.353","0.325",4.6,7.9,18.8,"0.322","0.634","0.433",54.8
"Arias, Gabriel",672356,"CLE","SL","Slider",-2.4,-4,"147",16.5,"38","0.167","0.222","0.197",45.5,28.9,21.6,"0.19","0.272","0.225",32
"Torres, Gleyber",650402,"DET","SL","Slider",-0.8,-1,"160",15.1,"38","0.206","0.324","0.276",19.4,13.2,10.6,"0.199","0.302","0.264",27.6
"Lux, Gavin",666158,"CIN","SI","Sinker",-0.4,-1,"127",12.9,"38","0.281","0.313","0.333",10,23.7,23.1,"0.267","0.374","0.342",52.2
"Jung, Josh",673962,"TEX","SL","Slider",0,0,"178",19.1,"38","0.278","0.333","0.3",30.7,23.7,18,"0.295","0.362","0.307",18.5
"Meidroth, Chase",805367,"CWS","SL","Slider",-0.9,-1,"136",16.2,"38","0.235","0.235","0.263",25,15.8,12.5,"0.234","0.274","0.273",28.6
"Trevino, Jose",624431,"CIN","FF","4-Seam Fastball",-1.4,-2,"158",31.9,"38","0.257","0.4","0.316",10.3,13.2,14.7,"0.222","0.406","0.301",46.7
"Rice, Ben",700250,"NYY","SI","Sinker",5.7,7,"118",13.1,"38","0.419","0.677","0.495",14.3,13.2,17.2,"0.419","0.704","0.542",59.3
"Freeman, Freddie",518692,"LAD","SI","Sinker",0.8,1,"112",11.4,"38","0.294","0.471","0.372",22.6,18.4,28,"0.324","0.501","0.393",53.6
"Happ, Ian",664023,"CHC","CU","Curveball",4.3,5,"113",9.3,"38","0.389","0.667","0.487",25.8,21.1,16,"0.371","0.662","0.453",35.7
"Rodgers, Brendan",663898,"HOU","SI","Sinker",-0.3,0,"120",24.6,"38","0.206","0.353","0.334",14.3,15.8,25,"0.256","0.443","0.341",42.9
"Ohtani, Shohei",660271,"LAD","CU","Curveball",5.8,7,"127",9.9,"38","0.333","0.733","0.5",47.5,42.1,32,"0.278","0.653","0.453",71.4
"Walls, Taylor",670764,"TB","SI","Sinker",-0.9,-1,"124",16.6,"38","0.2","0.3","0.314",14.8,7.9,10,"0.281","0.361","0.35",27.6
"Aranda, Jonathan",666018,"TB","SL","Slider",1.7,3,"145",13.2,"38","0.314","0.543","0.384",26.9,26.3,19.2,"0.345","0.714","0.456",57.7
"Nimmo, Brandon",607043,"NYM","SL","Slider",0.1,0,"133",12.1,"38","0.189","0.405","0.284",33.8,28.9,20.4,"0.203","0.329","0.239",34.6
"Meidroth, Chase",805367,"CWS","SI","Sinker",0.5,1,"200",23.8,"37","0.382","0.5","0.412",8.6,2.7,3.1,"0.401","0.496","0.416",54.5
"Smith, Josh",669701,"TEX","CH","Changeup",0.7,1,"109",11.2,"37","0.206","0.382","0.285",12.5,2.7,3.2,"0.287","0.435","0.34",30.3
"Henderson, Gunnar",683002,"BAL","CH","Changeup",2.5,3,"131",12.4,"37","0.286","0.514","0.359",34.8,35.1,27.7,"0.268","0.4","0.307",40.9
"Refsnyder, Rob",608701,"BOS","FF","4-Seam Fastball",1.5,2,"112",30.5,"37","0.241","0.414","0.376",29.8,32.4,26.1,"0.239","0.384","0.341",55.6
"Castellanos, Nick",592206,"PHI","CU","Curveball",-0.3,0,"130",11.9,"37","0.176","0.324","0.251",42.1,24.3,18,"0.22","0.415","0.302",32
"Bellinger, Cody",641355,"NYY","SL","Slider",-2.6,-5,"175",15.5,"37","0.111","0.222","0.135",30.4,21.6,15.4,"0.182","0.385","0.25",42.9
"Lux, Gavin",666158,"CIN","SL","Slider",-2.3,-4,"161",16.3,"37","0.152","0.182","0.207",38.5,29.7,19,"0.148","0.182","0.202",22.7
"Tucker, Kyle",663656,"CHC","SI","Sinker",4.4,5,"124",10.2,"37","0.471","0.765","0.543",8.8,5.4,11.8,"0.45","0.817","0.549",65.6
"Westburg, Jordan",676059,"BAL","FF","4-Seam Fastball",-2,-3,"156",33.3,"37","0.152","0.212","0.241",18.5,27,20,"0.212","0.353","0.29",52.2
"Murphy, Sean",669221,"ATL","SI","Sinker",1.7,2,"136",20.3,"37","0.333","0.467","0.451",10.2,13.5,14.3,"0.24","0.357","0.342",24
"Urías, Luis",649966,"ATH","SL","Slider",3.4,4,"130",15.8,"37","0.276","0.517","0.439",17.3,16.2,13,"0.259","0.498","0.402",34.8
"Arraez, Luis",650333,"SD","SL","Slider",-0.6,-1,"130",12.7,"37","0.235","0.412","0.307",7.5,0,0,"0.223","0.296","0.249",11.4
"Berti, Jon",542932,"CHC","FF","4-Seam Fastball",-2,-3,"128",40.1,"37","0.242","0.242","0.303",31.5,21.6,21.1,"0.286","0.377","0.332",44
"Harper, Bryce",547180,"PHI","CU","Curveball",0.2,0,"146",15.4,"37","0.286","0.4","0.3",47.1,24.3,16.7,"0.267","0.371","0.284",48.1
"Domínguez, Jasson",691176,"NYY","CH","Changeup",1.2,2,"132",14.9,"37","0.273","0.394","0.315",32,13.5,10.6,"0.279","0.513","0.36",37.9
"Nimmo, Brandon",607043,"NYM","SI","Sinker",2.8,4,"141",12.8,"37","0.364","0.606","0.446",11.9,8.1,7.3,"0.343","0.592","0.43",56.7
"O'Hoppe, Logan",681351,"LAA","SL","Slider",-3.2,-5,"165",18.5,"37","0.139","0.222","0.151",48.8,48.6,33.3,"0.145","0.259","0.184",52.6
"O'Hoppe, Logan",681351,"LAA","ST","Sweeper",-1,-1,"137",15.3,"37","0.111","0.278","0.2",41.5,29.7,20,"0.176","0.403","0.254",44
"Lopez, Otto",672640,"MIA","SL","Slider",-0.8,-1,"144",17.9,"37","0.206","0.294","0.281",32.8,13.5,13.5,"0.281","0.473","0.352",27.6
"Schwarber, Kyle",656941,"PHI","CH","Changeup",1.9,2,"133",9.8,"37","0.273","0.515","0.373",27.8,21.6,21.1,"0.294","0.586","0.406",48
"Harris II, Michael",671739,"ATL","SL","Slider",-2.4,-3,"126",12.7,"37","0.143","0.343","0.208",33.8,21.6,18.6,"0.259","0.538","0.348",42.9
"Kwan, Steven",680757,"CLE","SL","Slider",-0.6,-1,"131",11.1,"37","0.25","0.333","0.247",11.7,8.1,7,"0.253","0.361","0.259",32.4
"Díaz, Yandy",650490,"TB","SL","Slider",0.4,1,"159",14.8,"37","0.265","0.382","0.338",19.4,10.8,9.1,"0.309","0.465","0.361",60
"Lowe, Brandon",664040,"TB","SL","Slider",-1.3,-2,"141",13.5,"37","0.194","0.306","0.235",36.7,21.6,20,"0.25","0.442","0.305",50
"White, Eli",642201,"ATL","FF","4-Seam Fastball",2.4,4,"156",26.5,"37","0.412","0.647","0.497",26,27,20,"0.313","0.447","0.358",45.8
"Pham, Tommy",502054,"PIT","SI","Sinker",-0.6,-1,"153",21.2,"37","0.242","0.273","0.313",12.5,16.2,15.4,"0.24","0.293","0.285",55.6
"Abrams, CJ",682928,"WSH","SL","Slider",-1.5,-2,"140",15,"37","0.194","0.361","0.247",31.2,21.6,20,"0.237","0.378","0.275",28.6
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-1.8,-3,"172",33.9,"37","0.206","0.324","0.265",25.2,24.3,17.3,"0.288","0.453","0.346",40
"Taylor, Tyrone",621438,"NYM","SL","Slider",1.2,2,"137",17.9,"37","0.324","0.441","0.362",29.1,21.6,22.9,"0.378","0.574","0.432",46.2
"Williamson, Ben",810938,"SEA","SL","Slider",-3.8,-5,"121",15.5,"37","0.139","0.139","0.141",27.4,29.7,20.4,"0.217","0.309","0.239",52
"Conforto, Michael",624424,"LAD","CH","Changeup",-1,-1,"131",13.1,"37","0.152","0.273","0.235",28.6,18.9,15.6,"0.213","0.371","0.297",42.3
"Lindor, Francisco",596019,"NYM","SI","Sinker",1.5,2,"132",10.2,"37","0.375","0.531","0.416",13.8,13.5,21.7,"0.329","0.481","0.381",50
"Báez, Javier",595879,"DET","SL","Slider",-1.6,-2,"118",15.3,"37","0.2","0.371","0.266",29.2,18.9,21.9,"0.261","0.42","0.313",42.9
"Canha, Mark",592192,"KC","FF","4-Seam Fastball",-2.2,-3,"133",32,"37","0.226","0.226","0.265",19,18.9,18.9,"0.172","0.234","0.259",24
"Williamson, Ben",810938,"SEA","SI","Sinker",0,0,"156",19.9,"36","0.343","0.457","0.36",12.2,13.9,11.9,"0.283","0.384","0.289",54.8
"Farmer, Kyle",571657,"COL","SI","Sinker",-1.4,-2,"114",18.2,"36","0.257","0.371","0.283",8.5,2.8,7.7,"0.283","0.375","0.295",32.4
"Sosa, Lenyn",672820,"CWS","SL","Slider",0.4,0,"118",16.4,"36","0.273","0.455","0.333",36.9,27.8,27.8,"0.267","0.412","0.314",33.3
"Vaughn, Andrew",683734,"CWS","SI","Sinker",-3.1,-3,"112",14.8,"36","0.118","0.206","0.194",23,16.7,28.6,"0.306","0.505","0.366",46.4
"Stowers, Kyle",669065,"MIA","CH","Changeup",-0.3,0,"111",11.5,"36","0.278","0.389","0.29",39.4,27.8,26.3,"0.256","0.475","0.309",46.2
"Taylor, Tyrone",621438,"NYM","SI","Sinker",-0.7,-1,"125",16.3,"36","0.273","0.424","0.358",4.8,2.8,6.3,"0.308","0.469","0.363",50
"Gurriel Jr., Lourdes",666971,"AZ","SI","Sinker",0.8,1,"151",15,"36","0.343","0.543","0.389",3.2,0,0,"0.399","0.62","0.443",57.1
