"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soriano, José",667755,"LAA","SI","Sinker",0.1,1,"672",51.2,"205","0.293","0.356","0.346",18.8,10.2,18.8,"0.284","0.387","0.35",51.6
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.6,5,"797",59.7,"202","0.209","0.372","0.314",22.9,20.8,16.9,"0.258","0.465","0.36",38.3
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",1.6,11,"693",52.7,"186","0.184","0.276","0.261",23.7,29.6,24.7,"0.19","0.319","0.271",39.1
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",1.4,8,"624",55.3,"174","0.194","0.292","0.28",12.3,8,9.7,"0.269","0.457","0.367",53
"Sale, Chris",519242,"ATL","SL","Slider",1.9,13,"665",48.5,"171","0.153","0.229","0.206",41,45,27.5,"0.148","0.237","0.205",19.8
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",2,13,"637",54.4,"170","0.174","0.323","0.242",28.4,32.4,25.8,"0.183","0.402","0.269",40.6
"Cease, Dylan",656302,"SD","SL","Slider",1.2,8,"644",49.4,"169","0.195","0.325","0.273",43.2,39.1,26,"0.193","0.339","0.266",34.8
"Francis, Bowden",670102,"TOR","FF","4-Seam Fastball",-0.7,-4,"616",57.7,"168","0.283","0.507","0.364",15.2,15.5,15.1,"0.286","0.474","0.356",52.7
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.9,6,"662",54.1,"167","0.248","0.431","0.32",18.8,19.8,16.3,"0.272","0.498","0.353",46.3
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.7,4,"555",48.6,"165","0.267","0.487","0.364",16.7,10.3,14.7,"0.305","0.525","0.382",51.5
"Fried, Max",608331,"NYY","FF","4-Seam Fastball",3.1,17,"567",42.9,"165","0.149","0.234","0.214",21.8,23,19.5,"0.228","0.363","0.28",36.8
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-1,-5,"518",47.1,"162","0.319","0.468","0.386",15.5,8,11.6,"0.295","0.424","0.361",52.7
