"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",-0.1,-1,"985",37.2,"252","0.204","0.374","0.329",18.7,18.7,19.9,"0.244","0.434","0.362",40.7
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.5,6,"1136",38.5,"251","0.248","0.458","0.356",25.2,25.9,16.8,"0.257","0.494","0.37",53.3
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.2,2,"930",38.5,"242","0.359","0.436","0.369",4,1.2,1.4,"0.335","0.424","0.342",21.6
"Donovan, Brendan",680977,"STL","FF","4-Seam Fastball",-0.9,-8,"912",36.7,"240","0.253","0.341","0.299",10,13.8,13.1,"0.267","0.414","0.326",37.6
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",0.8,8,"1011",36.8,"236","0.255","0.468","0.392",17.8,22,18.1,"0.262","0.438","0.378",54
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",0.1,1,"762",29,"232","0.243","0.437","0.34",13.4,9.1,11.2,"0.283","0.489","0.37",45.4
"Bregman, Alex",608324,"HOU","FF","4-Seam Fastball",-0.1,-1,"795",33.2,"232","0.248","0.417","0.326",8.3,10.3,10.6,"0.256","0.438","0.336",42.2
"Adames, Willy",642715,"MIL","FF","4-Seam Fastball",-0.7,-6,"876",32.1,"232","0.221","0.38","0.306",29.5,27.2,23.2,"0.22","0.429","0.319",50.3
"Santander, Anthony",623993,"BAL","FF","4-Seam Fastball",-0.4,-4,"1073",39.2,"228","0.196","0.431","0.289",21.5,21.9,14.3,"0.196","0.382","0.279",35.8
"Winn, Masyn",691026,"STL","FF","4-Seam Fastball",0,0,"875",34.2,"228","0.266","0.417","0.352",14.6,11.4,10.3,"0.255","0.368","0.322",37.9
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",1.2,11,"910",33.1,"227","0.285","0.555","0.395",27.6,30.4,27.8,"0.253","0.499","0.364",53
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",0.3,3,"1012",37.3,"227","0.251","0.498","0.353",22.8,20.7,16.8,"0.286","0.601","0.405",58
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",0.6,6,"893",31.3,"227","0.236","0.522","0.39",25.5,24.7,23.3,"0.277","0.619","0.439",60
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",1.2,12,"1042",36.6,"225","0.284","0.546","0.394",23.8,24,19.9,"0.257","0.477","0.358",50.3
"Suárez, Eugenio",553993,"AZ","FF","4-Seam Fastball",0.8,7,"869",34.2,"225","0.263","0.485","0.354",26.3,25.3,20.7,"0.25","0.486","0.356",46.5
"Profar, Jurickson",595777,"SD","FF","4-Seam Fastball",0.8,8,"945",34.5,"221","0.257","0.464","0.38",15.5,15.8,11.6,"0.256","0.443","0.374",41.4
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",-0.3,-3,"1123",40.8,"220","0.214","0.319","0.322",13.2,14.1,9.1,"0.256","0.409","0.357",41.1
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",-0.3,-4,"1110",40.8,"217","0.245","0.397","0.337",26.2,34.6,20.3,"0.228","0.391","0.328",54.5
"Schanuel, Nolan",694384,"LAA","FF","4-Seam Fastball",-0.5,-4,"846",35.9,"216","0.225","0.348","0.32",8.6,13.9,13.6,"0.238","0.346","0.319",26.8
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0.4,4,"981",36.1,"215","0.276","0.486","0.383",22.5,21.4,14.8,"0.256","0.52","0.387",54.8
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",1.3,10,"787",31.2,"215","0.312","0.575","0.403",17.3,15.3,13.7,"0.282","0.54","0.39",44.3
"Bleday, JJ",668709,"OAK","FF","4-Seam Fastball",0.5,4,"757",30.5,"214","0.28","0.489","0.38",14.9,12.1,12.4,"0.26","0.445","0.353",38.1
"Henderson, Gunnar",683002,"BAL","FF","4-Seam Fastball",0.2,2,"944",32.6,"214","0.242","0.468","0.356",22.2,28,22.5,"0.267","0.483","0.37",58.7
"Lowe, Nathaniel",663993,"TEX","FF","4-Seam Fastball",1.1,10,"926",39.3,"214","0.293","0.467","0.41",20.3,22,16,"0.276","0.433","0.392",38.8
"Castro, Willi",650489,"MIN","FF","4-Seam Fastball",0.2,2,"908",36.2,"212","0.225","0.385","0.33",23,22.6,17.3,"0.254","0.446","0.354",41.9
"Goldschmidt, Paul",502671,"STL","FF","4-Seam Fastball",0.2,2,"862",31.7,"212","0.244","0.461","0.348",26,27.4,19.1,"0.26","0.49","0.351",52.9
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",-0.3,-2,"803",31.9,"210","0.198","0.379","0.316",26,28.1,21.3,"0.209","0.447","0.342",52.9
"Burleson, Alec",676475,"STL","FF","4-Seam Fastball",-1.4,-10,"718",33.9,"210","0.206","0.32","0.269",21,13.3,13,"0.227","0.376","0.288",38.7
"Chapman, Matt",656305,"SF","FF","4-Seam Fastball",0.7,7,"915",33.8,"209","0.258","0.527","0.367",26.4,27.3,18.4,"0.25","0.51","0.36",52.3
"Rutschman, Adley",668939,"BAL","FF","4-Seam Fastball",-0.1,-1,"879",33.9,"207","0.272","0.451","0.358",13.4,12.6,10.5,"0.266","0.449","0.346",47.2
"Ward, Taylor",621493,"LAA","FF","4-Seam Fastball",1.4,11,"798",30.7,"206","0.272","0.556","0.393",19.5,20.4,17.4,"0.285","0.627","0.421",50.4
"Busch, Michael",683737,"CHC","FF","4-Seam Fastball",0.2,2,"866",36.6,"205","0.216","0.433","0.35",23.7,25.9,19.6,"0.226","0.477","0.359",46.7
"Santana, Carlos",467793,"MIN","FF","4-Seam Fastball",-0.2,-1,"727",30,"205","0.243","0.462","0.358",18.9,12.7,14.1,"0.265","0.472","0.371",39.2
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-1,-8,"806",31.9,"203","0.233","0.363","0.276",35.3,35.5,27,"0.208","0.336","0.252",42.3
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0,0,"799",28.8,"202","0.179","0.387","0.321",29,35.6,25.4,"0.198","0.404","0.33",55.7
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",2.2,18,"824",29,"202","0.286","0.607","0.434",27.7,22.3,19.7,"0.318","0.68","0.467",65.3
"Bell, Josh",605137,"AZ","FF","4-Seam Fastball",0.4,3,"735",32.8,"202","0.257","0.419","0.347",19.1,16.3,19.4,"0.256","0.428","0.339",48.6
"Reynolds, Bryan",668804,"PIT","FF","4-Seam Fastball",1.2,9,"725",27.8,"201","0.313","0.54","0.41",17.6,15.4,15,"0.304","0.589","0.418",55.8
"Naylor, Josh",647304,"CLE","FF","4-Seam Fastball",1.9,11,"609",26.7,"200","0.264","0.545","0.381",10.5,11.5,14.2,"0.291","0.499","0.373",49
"Giménez, Andrés",665926,"CLE","FF","4-Seam Fastball",-0.6,-4,"743",31,"199","0.282","0.403","0.333",16.4,12.6,11.8,"0.287","0.418","0.34",37.3
"Rooker, Brent",667670,"OAK","FF","4-Seam Fastball",1.9,14,"750",31.5,"199","0.289","0.59","0.41",27.7,27.6,24,"0.292","0.643","0.426",50
"Alvarez, Yordan",670541,"HOU","FF","4-Seam Fastball",1.3,10,"814",36,"198","0.314","0.541","0.413",14.8,13.6,13.9,"0.306","0.557","0.411",52.4
"Torres, Gleyber",650402,"NYY","FF","4-Seam Fastball",-0.2,-1,"856",30.3,"198","0.226","0.378","0.334",23.6,21.2,13.6,"0.223","0.409","0.344",50.4
"Judge, Aaron",592450,"NYY","FF","4-Seam Fastball",4.6,36,"780",27,"197","0.381","0.813","0.546",22.9,23.4,19.9,"0.339","0.775","0.509",68.7
"Taveras, Leody",665750,"TEX","FF","4-Seam Fastball",-1.5,-10,"692",34.5,"195","0.225","0.315","0.272",19.4,22.6,20.7,"0.233","0.365","0.292",44.9
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",-1.6,-14,"879",34.7,"195","0.184","0.31","0.249",35,33.8,23.9,"0.208","0.387","0.297",62.5
"Hoerner, Nico",663538,"CHC","FF","4-Seam Fastball",-0.9,-6,"698",30.2,"194","0.256","0.333","0.32",8.4,9.8,10.4,"0.284","0.364","0.336",36.7
"India, Jonathan",663697,"CIN","FF","4-Seam Fastball",-0.3,-2,"842",31.7,"194","0.248","0.376","0.339",18.8,21.6,17.9,"0.253","0.442","0.365",43.7
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",-0.7,-5,"711",34.8,"193","0.282","0.345","0.326",11.2,10.9,10.2,"0.259","0.328","0.294",22.6
"Arenado, Nolan",571448,"STL","FF","4-Seam Fastball",-0.4,-3,"790",32.2,"193","0.271","0.398","0.32",14.3,15.5,13.1,"0.248","0.349","0.285",32.5
"Garcia, Maikel",672580,"KC","FF","4-Seam Fastball",-1.8,-14,"815",34.5,"192","0.209","0.297","0.267",17.1,21.9,18.2,"0.27","0.397","0.325",56.8
"Chisholm Jr., Jazz",665862,"NYY","FF","4-Seam Fastball",0.9,6,"748",30,"192","0.257","0.45","0.343",25.6,22.9,21.2,"0.234","0.443","0.335",46.1
"Doyle, Brenton",686668,"COL","FF","4-Seam Fastball",-1.3,-8,"643",29.8,"191","0.22","0.347","0.277",28.5,29.3,27.9,"0.236","0.416","0.308",50
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",1,8,"789",36.4,"191","0.35","0.537","0.431",4.5,5.2,5.9,"0.301","0.395","0.362",26.3
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0,0,"683",32,"191","0.267","0.39","0.31",9.4,12,12.2,"0.266","0.434","0.325",44.5
"Heim, Jonah",641680,"TEX","FF","4-Seam Fastball",-1,-7,"697",39.1,"191","0.229","0.32","0.278",19.6,19.9,20,"0.238","0.364","0.295",40.9
"Soto, Juan",665742,"NYY","FF","4-Seam Fastball",3.5,24,"703",23.8,"190","0.327","0.747","0.505",18.6,13.2,14.5,"0.367","0.924","0.574",65.6
"Verdugo, Alex",657077,"NYY","FF","4-Seam Fastball",-1.2,-9,"759",32.4,"190","0.199","0.321","0.301",14.9,16.8,15.3,"0.229","0.365","0.323",34.1
"Turang, Brice",668930,"MIL","FF","4-Seam Fastball",0,0,"914",37,"190","0.323","0.433","0.379",14.1,21.6,15.1,"0.245","0.34","0.305",33.1
"Smith, Josh",669701,"TEX","FF","4-Seam Fastball",0.5,4,"792",34,"189","0.238","0.439","0.349",20.2,22.2,15.6,"0.217","0.37","0.308",38.2
"Steer, Spencer",668715,"CIN","FF","4-Seam Fastball",-0.3,-3,"865",33,"189","0.201","0.365","0.313",20.4,24.3,17.1,"0.21","0.354","0.314",42.5
"Gurriel Jr., Lourdes",666971,"AZ","FF","4-Seam Fastball",0.5,4,"702",33.7,"189","0.28","0.429","0.346",14.3,16.9,15.1,"0.24","0.377","0.31",40.9
"De La Cruz, Bryan",650559,"PIT","FF","4-Seam Fastball",0.2,2,"684",28.6,"189","0.234","0.451","0.317",29.1,31.2,27.4,"0.249","0.485","0.333",50
"Ozuna, Marcell",542303,"ATL","FF","4-Seam Fastball",2,16,"818",28.5,"189","0.353","0.599","0.446",25.8,24.3,17.1,"0.292","0.586","0.409",57.9
"Bellinger, Cody",641355,"CHC","FF","4-Seam Fastball",0.8,5,"660",31.7,"188","0.251","0.45","0.35",21.2,13.8,15.1,"0.244","0.422","0.318",40.4
"Alonso, Pete",624413,"NYM","FF","4-Seam Fastball",1.6,13,"821",29.5,"188","0.256","0.625","0.411",20.6,22.9,16.9,"0.221","0.527","0.368",44.1
"Paredes, Isaac",670623,"CHC","FF","4-Seam Fastball",-0.3,-2,"798",28,"187","0.217","0.376","0.317",12.5,13.4,9.4,"0.221","0.367","0.316",26.1
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",-0.8,-6,"837",36.3,"186","0.203","0.366","0.303",15.3,16.1,12.7,"0.207","0.322","0.291",28.5
"Altuve, Jose",514888,"HOU","FF","4-Seam Fastball",1.2,8,"640",26.1,"186","0.302","0.517","0.386",13.6,15.6,17.1,"0.268","0.48","0.348",41.3
"Conforto, Michael",624424,"SF","FF","4-Seam Fastball",0.4,3,"727",37,"186","0.253","0.469","0.353",20.4,24.7,21.9,"0.254","0.49","0.362",43.6
"Marte, Ketel",606466,"AZ","FF","4-Seam Fastball",2.7,18,"691",32.2,"186","0.346","0.654","0.457",12.8,14.5,13.6,"0.32","0.634","0.45",61.4
"Ramírez, José",608070,"CLE","FF","4-Seam Fastball",1.7,12,"718",26.3,"186","0.31","0.625","0.412",10.9,9.1,7.6,"0.27","0.486","0.349",40.3
"Volpe, Anthony",683011,"NYY","FF","4-Seam Fastball",-0.4,-3,"827",29.6,"185","0.265","0.416","0.339",26.3,29.7,19.9,"0.246","0.369","0.31",51.4
"Mullins, Cedric",656775,"BAL","FF","4-Seam Fastball",-0.6,-4,"724",37.4,"183","0.219","0.355","0.322",16.9,17.5,15.2,"0.216","0.355","0.31",36.8
