"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Díaz, Alexis",664747,"CIN","SL","Slider",2.3,13,"598",51.5,"168","0.153","0.229","0.237",37.9,33.9,28.1,"0.175","0.245","0.249",38.2
"Javier, Cristian",664299,"HOU","SL","Slider",0,0,"864",30,"168","0.211","0.367","0.3",28.7,26.8,17.8,"0.204","0.333","0.279",33.7
"Brown, Hunter",686613,"HOU","FC","Cutter",-0.4,-3,"642",23.6,"168","0.297","0.506","0.365",20.8,14.9,18.4,"0.288","0.489","0.352",41.4
"Nola, Aaron",605400,"PHI","SI","Sinker",-0.4,-2,"577",18.7,"166","0.281","0.425","0.344",9.6,21.1,21.3,"0.289","0.445","0.335",47.1
"Alexander, Scott",518397,"SF","SI","Sinker",0.8,4,"522",75.2,"166","0.306","0.389","0.337",15,9.6,13.9,"0.277","0.387","0.307",34.8
"De Los Santos, Enyel",660853,"CLE","FF","4-Seam Fastball",0.9,6,"634",60.5,"166","0.25","0.351","0.305",18.8,21.7,17.3,"0.265","0.419","0.333",38.1
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",0.4,3,"679",46.9,"166","0.207","0.407","0.312",30.3,31.3,24.2,"0.192","0.358","0.289",39.4
"Swanson, Erik",657024,"TOR","FS","Split-Finger",2.8,14,"503",47.5,"166","0.162","0.266","0.227",34.3,34.9,27.9,"0.166","0.302","0.233",38.5
"Hader, Josh",623352,"SD","SI","Sinker",1.2,9,"765",73.4,"165","0.19","0.27","0.282",27.9,29.1,19.3,"0.184","0.264","0.276",26.7
"Montgomery, Jordan",656756,"TEX","CU","Curveball",0.5,3,"647",22.2,"165","0.191","0.357","0.245",37.1,33.3,20.9,"0.205","0.36","0.258",37.1
"Bednar, David",670280,"PIT","FF","4-Seam Fastball",1.8,11,"640",57.9,"165","0.188","0.315","0.253",30.3,29.1,21.1,"0.181","0.331","0.255",44.8
"Rodriguez, Grayson",680570,"BAL","CH","Changeup",0.9,4,"471",22.4,"165","0.201","0.318","0.26",28.3,24.2,18.2,"0.212","0.302","0.252",35.1
"Thompson, Zack",668868,"STL","FF","4-Seam Fastball",-0.5,-3,"627",53.7,"164","0.327","0.476","0.374",20.6,22,19.9,"0.303","0.476","0.365",52.6
"Pérez, Martín",527048,"TEX","CH","Changeup",-0.8,-5,"588",26.5,"164","0.316","0.447","0.351",28.1,15.2,14.8,"0.274","0.384","0.302",29.8
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",1.2,7,"616",27.6,"164","0.196","0.314","0.257",35.5,26.2,21.2,"0.2","0.308","0.252",50
"Lawrence, Justin",664875,"COL","ST","Sweeper",1.6,9,"576",48.7,"163","0.149","0.236","0.214",36.4,38.7,30.4,"0.159","0.258","0.22",25.3
"Sale, Chris",519242,"BOS","SL","Slider",0.6,4,"627",37.5,"163","0.162","0.358","0.257",38.9,45.4,29.1,"0.159","0.31","0.248",32
"Hernández, Carlos",672578,"KC","FF","4-Seam Fastball",-0.1,-1,"699",55.9,"163","0.279","0.515","0.404",25.5,21.5,15.8,"0.272","0.48","0.382",48.5
"Cabrera, Edward",665795,"MIA","CH","Changeup",0.7,4,"565",31.4,"163","0.186","0.3","0.283",36.3,27.6,23.9,"0.175","0.248","0.254",26.3
"Eflin, Zach",621107,"TB","FC","Cutter",-0.3,-2,"672",26.1,"163","0.307","0.588","0.391",16.7,5.5,15,"0.278","0.587","0.372",39.9
"Brash, Matt",666374,"SEA","SL","Slider",2.2,15,"665",51,"162","0.168","0.228","0.206",48.7,43.8,30,"0.157","0.244","0.208",26.3
"Henry, Tommy",674072,"AZ","FF","4-Seam Fastball",-1.4,-9,"680",48.9,"161","0.292","0.523","0.42",15.5,10.6,13.1,"0.278","0.508","0.402",40.7
"Wells, Tyler",669330,"BAL","FF","4-Seam Fastball",0.4,3,"717",37.7,"161","0.201","0.47","0.306",26.4,28.6,21.4,"0.215","0.511","0.325",54.8
"Sandoval, Patrick",663776,"LAA","FF","4-Seam Fastball",-1.4,-9,"661",25.2,"161","0.344","0.519","0.44",15.6,11.8,10.9,"0.313","0.5","0.412",45.1
